,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_SVC__C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,136.78960580825805,7.5596074390878165,21.811997747421266,0.6469160308591723,1.0,{'SVC__C': 1.0},0.6241860465116279,0.6100511865984178,0.6221498371335505,0.6123778501628665,0.6184271754304328,0.6174384191673792,0.005456851411829,31
1,136.3302017211914,1.8830667237205478,21.694202518463136,0.5588277811560215,1.1,{'SVC__C': 1.1},0.6255813953488372,0.6137738483015356,0.6212191717077711,0.6188925081433225,0.6170311772917636,0.619299620158646,0.003974697612146454,19
2,135.3334011077881,2.120947526132099,22.3800030708313,0.6191878720689522,1.2,{'SVC__C': 1.2},0.6274418604651163,0.6123778501628665,0.6272684969753374,0.6221498371335505,0.6184271754304328,0.6215330440334607,0.005686017242099139,3
3,135.7134024620056,2.231489698909325,22.338800811767577,1.3616455303556643,1.3,{'SVC__C': 1.3},0.6246511627906977,0.6100511865984178,0.6263378315495579,0.6230805025593299,0.6174965100046533,0.6203234387005313,0.005933198249940327,5
4,136.58480024337769,1.8040911642282984,22.107400274276735,0.9169259814937887,1.4,{'SVC__C': 1.4},0.6306976744186047,0.6123778501628665,0.6240111679851094,0.6244765006979991,0.6184271754304328,0.6219980737390025,0.0061834976672481,1
5,137.01000480651857,1.8414982796295218,22.62999544143677,1.2285341203935456,1.5,{'SVC__C': 1.5},0.627906976744186,0.6100511865984178,0.6268031642624476,0.6263378315495579,0.6174965100046533,0.6217191338318525,0.006920125411619603,2
6,137.78020105361938,1.6900985488796072,21.91619744300842,0.4926684471417425,1.6,{'SVC__C': 1.6},0.6274418604651163,0.6077245230339693,0.6268031642624476,0.6263378315495579,0.6165658445788739,0.620974644777993,0.007740329914135867,4
7,138.77100138664247,1.2167732768923596,22.083402156829834,0.5043779725437193,1.7000000000000002,{'SVC__C': 1.7000000000000002},0.6265116279069768,0.6063285248953001,0.6258724988366682,0.6258724988366682,0.6170311772917636,0.6203232655534754,0.00783038210936488,6
8,138.4243996143341,2.230008824464218,21.94539866447449,0.5580653444047762,1.8,{'SVC__C': 1.8},0.627906976744186,0.6053978594695207,0.6254071661237784,0.6268031642624476,0.6161005118659841,0.6203231356931833,0.00855508273604915,7
9,139.43979625701905,1.5963475856531566,21.80139904022217,0.758775668535516,1.9,{'SVC__C': 1.9},0.6283720930232558,0.6026058631921825,0.6226151698464402,0.6291298278268962,0.6156351791530945,0.6196716266083738,0.009811761533563277,10
10,139.32920122146606,2.2083348416496267,21.836401557922365,0.5487931608328647,2.0,{'SVC__C': 2.0},0.6283720930232558,0.6007445323406235,0.6230805025593299,0.6286644951140065,0.6156351791530945,0.619299360438062,0.0104117734321953,23
11,138.69400391578674,2.1119562910748715,21.822397565841676,0.32991386466184636,2.1,{'SVC__C': 2.1},0.6274418604651163,0.6007445323406235,0.6240111679851094,0.6291298278268962,0.6161005118659841,0.6194855800967459,0.010387303935479113,11
12,139.66060237884523,1.86886988575572,21.74100241661072,0.6469519643300709,2.2,{'SVC__C': 2.2},0.6269767441860465,0.6002791996277338,0.6244765006979991,0.6281991624011168,0.6170311772917636,0.619392556840932,0.010313284846786992,14
13,139.38460059165953,2.332943509485187,21.889799928665163,0.5498998423297006,2.3,{'SVC__C': 2.3},0.6274418604651163,0.5998138669148441,0.6249418334108888,0.6300604932526757,0.6174965100046533,0.6199509128096357,0.010906437662752299,9
14,139.032199716568,2.3579217877631815,21.855598974227906,0.28124591060040605,2.4000000000000004,{'SVC__C': 2.4000000000000004},0.627906976744186,0.6012098650535133,0.6258724988366682,0.6286644951140065,0.6170311772917636,0.6201370026080275,0.010333143088213776,8
15,139.77420129776002,2.62818015054161,21.923601198196412,0.6402216065195878,2.5,{'SVC__C': 2.5},0.627906976744186,0.6002791996277338,0.6249418334108888,0.6281991624011168,0.6161005118659841,0.619485536809982,0.010554249153157716,12
16,139.60680356025696,2.4080454519763563,22.008599996566772,0.641825655268404,2.6,{'SVC__C': 2.6},0.6283720930232558,0.5998138669148441,0.6249418334108888,0.6281991624011168,0.6156351791530945,0.61939242698064,0.010829827590676137,17
17,140.65040249824523,2.366681479606439,21.723396730422973,0.741761636745677,2.7,{'SVC__C': 2.7},0.6288372093023256,0.6007445323406235,0.6230805025593299,0.6291298278268962,0.6156351791530945,0.6194854502364538,0.010577716284065885,13
