,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_SVC__C,param_SVC__kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,106.10520601272583,6.459888601728603,20.237795782089233,0.5317462142199133,1.0,linear,"{'SVC__C': 1.0, 'SVC__kernel': 'linear'}",0.626046511627907,0.6067938576081898,0.6095858538855281,0.6063285248953001,0.6263378315495579,0.6150185159132966,0.009191499995010122,8
1,151.90900115966798,4.88565758252419,22.87699885368347,0.53846480618367,1.0,poly,"{'SVC__C': 1.0, 'SVC__kernel': 'poly'}",0.5483720930232558,0.5342019543973942,0.5272219637040484,0.5295486272684969,0.5435086086551885,0.5365706494096767,0.008120674667685195,40
2,127.69980211257935,4.400756002787208,21.966001987457275,0.39047023519461865,1.0,rbf,"{'SVC__C': 1.0, 'SVC__kernel': 'rbf'}",0.6311627906976744,0.5998138669148441,0.6002791996277338,0.6137738483015356,0.6212191717077711,0.6132497754499118,0.01211132956909969,11
3,97.48320498466492,0.802560026443508,19.84779577255249,0.6158306276855852,1.0,sigmoid,"{'SVC__C': 1.0, 'SVC__kernel': 'sigmoid'}",0.6190697674418605,0.6040018613308515,0.6100511865984178,0.6072591903210796,0.6174965100046533,0.6115757031393726,0.005822996943849671,12
4,94.64919586181641,2.2247192464579792,19.746405792236327,0.4755883194647651,2.0,linear,"{'SVC__C': 2.0, 'SVC__kernel': 'linear'}",0.618139534883721,0.598417868776175,0.6040018613308515,0.6021405304792927,0.6063285248953001,0.605805664073068,0.006688261067798491,13
5,144.54920210838318,1.745672787313984,22.116004467010498,0.6186476904003699,2.0,poly,"{'SVC__C': 2.0, 'SVC__kernel': 'poly'}",0.5548837209302325,0.5374592833876222,0.5383899488134016,0.5314099581200559,0.5486272684969753,0.5421540359496575,0.008433171186605111,31
6,140.36360239982605,1.2537223150767642,21.563399457931517,0.5999317533407843,2.0,rbf,"{'SVC__C': 2.0, 'SVC__kernel': 'rbf'}",0.6325581395348837,0.6123778501628665,0.6030711959050721,0.6165658445788739,0.6244765006979991,0.6178099061759391,0.010101864896804537,1
7,93.87620258331299,1.9498520962694035,19.138999891281127,0.2503743157917031,2.0,sigmoid,"{'SVC__C': 2.0, 'SVC__kernel': 'sigmoid'}",0.6037209302325581,0.5956258724988367,0.595160539785947,0.6072591903210796,0.6040018613308515,0.6011536788338546,0.004867330938532949,14
8,94.04880313873291,1.6742349886243386,19.71319713592529,0.3890442370829991,3.0,linear,"{'SVC__C': 3.0, 'SVC__kernel': 'linear'}",0.6134883720930232,0.5905072126570498,0.5979525360632852,0.5956258724988367,0.5979525360632852,0.599105305875096,0.007688485077222474,15
9,142.17000379562378,1.9970471664211706,22.05499448776245,0.3355210743604696,3.0,poly,"{'SVC__C': 3.0, 'SVC__kernel': 'poly'}",0.5553488372093023,0.536063285248953,0.5388552815262913,0.5323406235458352,0.545835272219637,0.5416886599500037,0.008134537411592273,36
10,139.71940131187438,1.8335053057190025,21.926402044296264,0.26792225151071025,3.0,rbf,"{'SVC__C': 3.0, 'SVC__kernel': 'rbf'}",0.626046511627907,0.6095858538855281,0.6030711959050721,0.6193578408562121,0.6226151698464402,0.6161353144242319,0.008534303239730397,2
11,94.11340208053589,0.6926596105290105,18.665800094604492,0.4378766296611593,3.0,sigmoid,"{'SVC__C': 3.0, 'SVC__kernel': 'sigmoid'}",0.6027906976744186,0.5835272219637041,0.5877152163797115,0.5909725453699395,0.595160539785947,0.5920332442347441,0.006597357705709193,17
12,92.45640020370483,1.211441377503417,19.663202953338622,0.4047214685222522,4.0,linear,"{'SVC__C': 4.0, 'SVC__kernel': 'linear'}",0.6069767441860465,0.5877152163797115,0.5872498836668217,0.591903210795719,0.5942298743601675,0.5936149858776932,0.007171703467826218,16
13,142.54920129776002,2.021839669823248,21.946200466156007,0.5100251597878863,4.0,poly,"{'SVC__C': 4.0, 'SVC__kernel': 'poly'}",0.5553488372093023,0.5369939506747324,0.5402512796649604,0.5314099581200559,0.5449046067938577,0.5417817264925817,0.008082790588940644,34
14,140.3158007144928,3.086419035721479,21.968598747253417,0.5094384516275194,4.0,rbf,"{'SVC__C': 4.0, 'SVC__kernel': 'rbf'}",0.6255813953488372,0.6091205211726385,0.6012098650535133,0.6179618427175431,0.6216845044206608,0.6151116257426386,0.008832834547904752,7
15,93.73439664840699,1.627836457923038,18.11900053024292,0.5347953963715545,4.0,sigmoid,"{'SVC__C': 4.0, 'SVC__kernel': 'sigmoid'}",0.5846511627906976,0.5825965565379246,0.5835272219637041,0.5830618892508144,0.5839925546765937,0.5835658770439469,0.0007148397174964186,20
16,91.38560266494751,1.5598543204383029,19.40099964141846,0.4614578792596775,5.0,linear,"{'SVC__C': 5.0, 'SVC__kernel': 'linear'}",0.6065116279069768,0.5779432294090274,0.5863192182410424,0.5881805490926012,0.5877152163797115,0.5893339682058718,0.009357995229972021,18
17,142.6242516040802,0.8547735904872911,22.93290729522705,1.2516408788379603,5.0,poly,"{'SVC__C': 5.0, 'SVC__kernel': 'poly'}",0.5548837209302325,0.536063285248953,0.5407166123778502,0.5318752908329456,0.5439739413680782,0.5415025701516119,0.007849215614363097,38
18,142.22306809425353,2.459461227400895,25.574169921875,1.545737554577752,5.0,rbf,"{'SVC__C': 5.0, 'SVC__kernel': 'rbf'}",0.6269767441860465,0.6086551884597488,0.601675197766403,0.6184271754304328,0.6235458352722196,0.6158560282229703,0.00940598000935623,4
