,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_RF__max_depth,param_RF__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,4.483404064178467,0.21047383821457274,1.1013987064361572,0.22802412289326138,3,10,"{'RF__max_depth': 3, 'RF__n_estimators': 10}",0.4069767441860465,0.42252210330386225,0.4271754304327594,0.42810609585853887,0.4057701256398325,0.418110099884208,0.009775402816273246,80
1,4.698600769042969,0.17758911175418896,1.1166003227233887,0.21909286446119633,3,20,"{'RF__max_depth': 3, 'RF__n_estimators': 20}",0.43534883720930234,0.42671009771986973,0.44206607724523034,0.4355514192647743,0.4364820846905538,0.4352317032259461,0.004919467880965051,78
2,4.859800386428833,0.2313891850049349,1.1588002681732177,0.26604993045786285,3,30,"{'RF__max_depth': 3, 'RF__n_estimators': 30}",0.4283720930232558,0.4388087482550023,0.4602140530479293,0.4304327594229874,0.429502093997208,0.43746594954927653,0.011957142687716908,77
3,4.868001651763916,0.20908473497912913,1.160998487472534,0.20616717140237326,3,40,"{'RF__max_depth': 3, 'RF__n_estimators': 40}",0.45813953488372094,0.4676593764541647,0.4388087482550023,0.4611447184737087,0.45649139134481154,0.4564487538822816,0.009609999987217857,71
4,4.929199838638306,0.2081769810393148,1.1613993644714355,0.23406706513777226,3,50,"{'RF__max_depth': 3, 'RF__n_estimators': 50}",0.44790697674418606,0.4662633783154956,0.4523033969288041,0.4667287110283853,0.44113541181945093,0.45486757496726443,0.010140494307144891,72
5,4.990801286697388,0.19447661537600705,1.1562002658843995,0.20677117196694145,3,60,"{'RF__max_depth': 3, 'RF__n_estimators': 60}",0.4386046511627907,0.45044206607724524,0.454164727780363,0.46579804560260585,0.47510469986040016,0.45682283809668095,0.012605260461395066,70
6,5.070199680328369,0.2786924809652494,1.2444005966186524,0.20950563196729646,3,70,"{'RF__max_depth': 3, 'RF__n_estimators': 70}",0.4530232558139535,0.4471847370870172,0.47138203815728247,0.41879944160074456,0.4778966961377385,0.4536572337593473,0.02078018788519209,73
7,5.148202419281006,0.24797873170791304,1.1935980319976807,0.23441393375444136,3,80,"{'RF__max_depth': 3, 'RF__n_estimators': 80}",0.4572093023255814,0.4718473708701722,0.4862726849697534,0.4890646812470917,0.47696603071195903,0.47627201402491154,0.011376395365359868,58
8,5.1543981552124025,0.21146921914002267,1.2367995738983155,0.19887018540951684,3,90,"{'RF__max_depth': 3, 'RF__n_estimators': 90}",0.4795348837209302,0.4727780362959516,0.4746393671475105,0.4862726849697534,0.47975802698929737,0.4785965998246886,0.00470461358417876,56
9,5.341601324081421,0.16801844232062266,1.2742013454437255,0.20854451002890115,3,100,"{'RF__max_depth': 3, 'RF__n_estimators': 100}",0.4762790697674419,0.4602140530479293,0.4778966961377385,0.4848766868310842,0.4788273615635179,0.47561877346954234,0.008233277980464176,61
10,4.694198369979858,0.22866314675177224,1.1282028198242187,0.22347672746305355,4,10,"{'RF__max_depth': 4, 'RF__n_estimators': 10}",0.41953488372093023,0.4378780828292229,0.44113541181945093,0.4271754304327594,0.46812470916705445,0.4387697035938835,0.0165681222887635,76
11,4.8721864223480225,0.2107316261991706,1.1197983264923095,0.21057194818143252,4,20,"{'RF__max_depth': 4, 'RF__n_estimators': 20}",0.4553488372093023,0.4416007445323406,0.45649139134481154,0.42996742671009774,0.4662633783154956,0.4499343556224096,0.01270492530021966,74
12,4.900597286224365,0.24924807461496767,1.1408007621765137,0.22112374034737836,4,30,"{'RF__max_depth': 4, 'RF__n_estimators': 30}",0.45627906976744187,0.4718473708701722,0.48534201954397393,0.4699860400186133,0.4695207073057236,0.4705950415011849,0.009225115865869342,65
13,5.010402250289917,0.20968330828581075,1.164198923110962,0.1759381342129736,4,40,"{'RF__max_depth': 4, 'RF__n_estimators': 40}",0.44372093023255815,0.4490460679385761,0.47417403443462075,0.4578873894834807,0.495114006514658,0.4639884857207788,0.018675205365591117,68
14,5.108599901199341,0.2122920066432765,1.143800687789917,0.21717412376660636,4,50,"{'RF__max_depth': 4, 'RF__n_estimators': 50}",0.46651162790697676,0.4602140530479293,0.4602140530479293,0.4667287110283853,0.4881340158213122,0.46836049217050657,0.01029370863280505,67
15,5.207400465011597,0.22198930188009353,1.1445981979370117,0.1981745429508061,4,60,"{'RF__max_depth': 4, 'RF__n_estimators': 60}",0.48093023255813955,0.4927873429502094,0.5118659841786878,0.47929269427640764,0.49185667752442996,0.4913465862975748,0.011637683620706085,48
16,5.32340259552002,0.2150527834766452,1.2121978282928467,0.20565485112800255,4,70,"{'RF__max_depth': 4, 'RF__n_estimators': 70}",0.4669767441860465,0.4662633783154956,0.46812470916705445,0.4862726849697534,0.4830153559795254,0.4741305745235751,0.008666148752039863,63
17,5.481600189208985,0.3208070616259746,1.1940003871917724,0.2237576869909724,4,80,"{'RF__max_depth': 4, 'RF__n_estimators': 80}",0.46651162790697676,0.49185667752442996,0.4862726849697534,0.48255002326663565,0.4890646812470917,0.4832511389829775,0.008918353006093898,53
18,5.436800384521485,0.24978444737922592,1.215803337097168,0.19600058980084023,4,90,"{'RF__max_depth': 4, 'RF__n_estimators': 90}",0.4874418604651163,0.4974406700791066,0.49139134481154023,0.49697533736621685,0.5109353187529083,0.4968369062949776,0.007963290195861726,45
