,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_Ada__learning_rate,param_Ada__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,31.252175426483156,1.5240169064875007,1.6559228420257568,0.4035753977486187,0.1,100,"{'Ada__learning_rate': 0.1, 'Ada__n_estimators': 100}",0.5372093023255814,0.5267566309911587,0.5453699395067473,0.5211726384364821,0.5532805956258725,0.5367578213771684,0.011749861437737161,30
1,60.77321434020996,3.407633309889817,2.0550700664520263,0.3784154386087788,0.1,200,"{'Ada__learning_rate': 0.1, 'Ada__n_estimators': 200}",0.5674418604651162,0.5495579339227548,0.5653792461610051,0.5467659376454165,0.5621219171707771,0.5582533790730139,0.008458650435810894,19
2,84.37965664863586,4.107169499934699,2.3839855194091797,0.3969509991140099,0.1,300,"{'Ada__learning_rate': 0.1, 'Ada__n_estimators': 300}",0.5683720930232559,0.563983248022336,0.567240577012564,0.5467659376454165,0.5714285714285714,0.5635580854264287,0.008727393123567927,18
3,104.69015712738037,3.0195202587738814,2.6891178607940676,0.42264678408028084,0.1,400,"{'Ada__learning_rate': 0.1, 'Ada__n_estimators': 400}",0.5781395348837209,0.5686365751512331,0.5732899022801303,0.5560725919032108,0.5714285714285714,0.5695134351293734,0.007399516176193578,16
4,128.29173316955567,3.5828683474673997,3.0892165184020994,0.5995505052998809,0.1,500,"{'Ada__learning_rate': 0.1, 'Ada__n_estimators': 500}",0.5823255813953488,0.5723592368543509,0.5709632387156817,0.5518845974872033,0.5816658911121452,0.5718397091129459,0.011006833873839208,15
5,154.9321647644043,4.560426834295771,3.472084140777588,0.7429620683447692,0.1,600,"{'Ada__learning_rate': 0.1, 'Ada__n_estimators': 600}",0.5827906976744186,0.5737552349930201,0.5756165658445789,0.5597952536063285,0.5853885528152629,0.5754692609867218,0.00895131137588869,13
6,180.05362272262573,4.0438371432007125,3.581509494781494,0.595721974393291,0.1,700,"{'Ada__learning_rate': 0.1, 'Ada__n_estimators': 700}",0.5897674418604651,0.5718939041414611,0.5779432294090274,0.5611912517449976,0.5877152163797115,0.5777022087071325,0.010509389767319638,11
7,205.09044508934022,5.46819849667803,3.946011686325073,0.6732795818583514,0.1,800,"{'Ada__learning_rate': 0.1, 'Ada__n_estimators': 800}",0.5916279069767442,0.5737552349930201,0.5798045602605864,0.5649139134481154,0.5914378780828292,0.580307898752259,0.010316826659631002,9
8,228.21365666389465,6.153726556603021,4.325041103363037,0.7871088849892326,0.1,900,"{'Ada__learning_rate': 0.1, 'Ada__n_estimators': 900}",0.5930232558139535,0.5746859004187994,0.5812005583992554,0.570497906002792,0.5881805490926012,0.5815176339454803,0.008306398697997546,6
9,253.68874974250792,4.8627852813101375,5.275182008743286,0.9303075317122171,0.1,1000,"{'Ada__learning_rate': 0.1, 'Ada__n_estimators': 1000}",0.5925581395348837,0.5774778966961377,0.5872498836668217,0.5667752442996743,0.596556537924616,0.5841235404244267,0.010776120545526126,2
10,29.651564025878905,0.776947244122634,1.448095941543579,0.309019371189096,0.5,100,"{'Ada__learning_rate': 0.5, 'Ada__n_estimators': 100}",0.5725581395348838,0.5556072591903211,0.5839925546765937,0.55746859004188,0.5667752442996743,0.5672803575486706,0.010391724224803934,17
11,54.68802452087402,1.2339545760532875,1.8205180644989014,0.34842203498456004,0.5,200,"{'Ada__learning_rate': 0.5, 'Ada__n_estimators': 200}",0.5827906976744186,0.5537459283387622,0.5774778966961377,0.5709632387156817,0.5751512331316891,0.5720257989113379,0.009906154218662745,14
12,79.20676317214966,1.7363135502120488,2.1381682395935058,0.3440606769431291,0.5,300,"{'Ada__learning_rate': 0.5, 'Ada__n_estimators': 300}",0.5906976744186047,0.5667752442996743,0.5751512331316891,0.5723592368543509,0.5798045602605864,0.5769575897929811,0.008062048129895801,12
13,104.36792225837708,2.395483510591709,2.7142665863037108,0.49358570437905763,0.5,400,"{'Ada__learning_rate': 0.5, 'Ada__n_estimators': 400}",0.5827906976744186,0.5732899022801303,0.5816658911121452,0.5788738948348069,0.5891112145183807,0.5811463200839764,0.00516334566509192,8
14,129.30807704925536,3.4847801032985415,2.8806081771850587,0.5690956305824373,0.5,500,"{'Ada__learning_rate': 0.5, 'Ada__n_estimators': 500}",0.5846511627906976,0.5798045602605864,0.5825965565379246,0.5816658911121452,0.5886458818054909,0.5834728105013689,0.0030211924583482827,5
15,154.09172101020812,3.755673961955737,3.437512493133545,0.7289886805159167,0.5,600,"{'Ada__learning_rate': 0.5, 'Ada__n_estimators': 600}",0.5846511627906976,0.5770125639832481,0.5867845509539321,0.5723592368543509,0.5863192182410424,0.5814253465646543,0.005740103437835123,7
16,177.88149385452272,5.431551561401532,3.8703590869903564,0.7759292680314835,0.5,700,"{'Ada__learning_rate': 0.5, 'Ada__n_estimators': 700}",0.5813953488372093,0.5821312238250349,0.5881805490926012,0.5770125639832481,0.5891112145183807,0.5835661800512948,0.004511347913633512,4
17,203.19742712974548,5.668592404834883,4.1056512832641605,0.8267822498426847,0.5,800,"{'Ada__learning_rate': 0.5, 'Ada__n_estimators': 800}",0.5902325581395349,0.5751512331316891,0.5895765472312704,0.5728245695672406,0.596556537924616,0.5848682891988701,0.009241543100807149,1
18,227.635395860672,4.173868948888122,4.532087564468384,0.9393363000991936,0.5,900,"{'Ada__learning_rate': 0.5, 'Ada__n_estimators': 900}",0.5906976744186047,0.5760818985574686,0.5877152163797115,0.5695672405770126,0.5960912052117264,0.5840306470289047,0.00975556351680347,3
