,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_DTC__criterion,param_DTC__max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,6.113600873947144,2.30330177953938,1.1477975845336914,0.2388737799755103,gini,3,"{'DTC__criterion': 'gini', 'DTC__max_depth': 3}",0.4669767441860465,0.4760353652861796,0.467194043741275,0.4634713820381573,0.4723127035830619,0.46919804776694407,0.0044315891915742605,14
1,5.301597738265992,0.20510250556737722,1.0726002693176269,0.18891619209580174,gini,4,"{'DTC__criterion': 'gini', 'DTC__max_depth': 4}",0.4986046511627907,0.5053513261982318,0.49976733364355513,0.48255002326663565,0.5086086551884598,0.49897639789193454,0.008988989374355461,12
2,5.67999963760376,0.2902597638105732,1.0328000068664551,0.21253879704967601,gini,5,"{'DTC__criterion': 'gini', 'DTC__max_depth': 5}",0.512093023255814,0.5072126570497906,0.5160539785946953,0.49139134481154023,0.5127966496044672,0.5079095306632615,0.008729875950899024,11
3,6.049000406265259,0.2136061899760115,1.0475992202758788,0.19940708097163243,gini,6,"{'DTC__criterion': 'gini', 'DTC__max_depth': 6}",0.5009302325581395,0.5123313168915775,0.5258259655653792,0.5011633317822243,0.5211726384364821,0.5122846970467606,0.010148618209598573,9
4,7.447799348831177,1.739516630252937,1.3943999767303468,0.7958573746192054,gini,7,"{'DTC__criterion': 'gini', 'DTC__max_depth': 7}",0.5009302325581395,0.5221033038622616,0.5323406235458352,0.5034899953466728,0.5295486272684969,0.5176825565162811,0.013094080508291405,3
5,7.084199619293213,0.17083557468049343,1.0303997993469238,0.19840247421945545,gini,8,"{'DTC__criterion': 'gini', 'DTC__max_depth': 8}",0.5027906976744186,0.5137273150302466,0.5267566309911587,0.4974406700791066,0.5332712889716147,0.514797320549309,0.013644558151353412,5
6,7.502000522613526,0.22351972516287605,1.0735998153686523,0.2198882754833098,gini,9,"{'DTC__criterion': 'gini', 'DTC__max_depth': 9}",0.5055813953488372,0.5267566309911587,0.5314099581200559,0.5067473243369008,0.5216379711493718,0.5184266559892647,0.010484986138050385,2
7,8.209397649765014,0.33028238242381275,1.0692032337188722,0.17152112120742394,gini,10,"{'DTC__criterion': 'gini', 'DTC__max_depth': 10}",0.5093023255813953,0.5146579804560261,0.5383899488134016,0.5146579804560261,0.5221033038622616,0.5198223078338221,0.010138745637896232,1
8,5.494202470779419,0.2146937959566289,1.0571966648101807,0.15757889660440594,entropy,3,"{'DTC__criterion': 'entropy', 'DTC__max_depth': 3}",0.433953488372093,0.4169381107491857,0.41228478362028853,0.4201954397394137,0.43182875756165656,0.4230401160085274,0.008453942781185818,16
9,7.005201530456543,2.0656705452570163,1.266796875,0.6017575884265315,entropy,4,"{'DTC__criterion': 'entropy', 'DTC__max_depth': 4}",0.44465116279069766,0.4220567705909725,0.4211261051651931,0.4676593764541647,0.46905537459283386,0.44490975791877235,0.020921491283482956,15
10,6.370198392868042,0.159322503857149,1.0120012760162354,0.20869317397869033,entropy,5,"{'DTC__criterion': 'entropy', 'DTC__max_depth': 5}",0.5116279069767442,0.5002326663564448,0.48022335970218705,0.4783620288506282,0.4965100046533271,0.49339119330786624,0.012556895231490985,13
11,6.999602556228638,0.28997492486058096,1.0117971897125244,0.18503514810116375,entropy,6,"{'DTC__criterion': 'entropy', 'DTC__max_depth': 6}",0.5241860465116279,0.5207073057235924,0.5141926477431363,0.4895300139599814,0.5146579804560261,0.5126547988788728,0.012156857583746922,8
12,7.3595991134643555,0.29364919010988016,0.9954010963439941,0.19898906881807651,entropy,7,"{'DTC__criterion': 'entropy', 'DTC__max_depth': 7}",0.5255813953488372,0.5193113075849232,0.5248953001395998,0.4895300139599814,0.5090739879013495,0.5136784009869382,0.013443027590453262,7
13,9.023998785018922,1.9712331800213554,1.2656002521514893,0.3860063999762447,entropy,8,"{'DTC__criterion': 'entropy', 'DTC__max_depth': 8}",0.5274418604651163,0.5193113075849232,0.5262912982782689,0.49371800837598884,0.5183806421591438,0.5170286233726882,0.01220373735120235,4
14,8.371000862121582,0.1843201633357001,0.8483991622924805,0.15823190540680812,entropy,9,"{'DTC__criterion': 'entropy', 'DTC__max_depth': 9}",0.5204651162790698,0.5104699860400186,0.5211726384364821,0.4881340158213122,0.5137273150302466,0.5107938143214258,0.012028556279100523,10
15,8.261797332763672,0.34566079502005814,0.6092000961303711,0.12698945886507415,entropy,10,"{'DTC__criterion': 'entropy', 'DTC__max_depth': 10}",0.5106976744186047,0.5146579804560261,0.5262912982782689,0.4899953466728711,0.5267566309911587,0.5136797861633859,0.013422791341489755,6
